         101641067 function calls (100623021 primitive calls) in 89.025 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 51929684   24.191    0.000   24.191    0.000 {built-in method numpy.array}
3070806     20.629    0.000   68.706    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1017890   16.665    0.000   48.295    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\lib\shape_base.py:612(column_stack)
       25    7.280    0.291   82.159    3.286 C:\Python\VideoProc\HW2\ex2_funcsions.py:7(LucasKanadeStep)
       26    6.782    0.261    6.810    0.262 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\interpolate\ndgriddata.py:88(griddata)
   508945    2.344    0.000    5.170    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\linalg\linalg.py:2063(det)
  2035780    1.544    0.000    1.544    0.000 {method 'flatten' of 'numpy.ndarray' objects}
  1017890    1.508    0.000    1.508    0.000 {transpose}
 25447315    1.349    0.000    1.349    0.000 {method 'append' of 'list' objects}
   508945    0.779    0.000    0.779    0.000 {method 'astype' of 'numpy.generic' objects}
   525767    0.672    0.000    1.184    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\linalg\linalg.py:144(_commonType)
  1017916    0.539    0.000    7.275    0.000 <__array_function__ internals>:2(concatenate)
  1017890    0.513    0.000   63.291    0.000 <__array_function__ internals>:2(column_stack)
   509231    0.387    0.000    0.387    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  1017890    0.338    0.000    0.867    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\lib\shape_base.py:608(_column_stack_dispatcher)
  1017890    0.304    0.000    0.529    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\shape_base.py:209(_arrays_for_stack_dispatcher)
   508945    0.283    0.000    5.730    0.000 <__array_function__ internals>:2(det)
   508945    0.281    0.000    1.029    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\fromnumeric.py:202(reshape)
   525767    0.271    0.000    0.271    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\linalg\linalg.py:209(_assert_stacked_square)
   508945    0.269    0.000    0.748    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\fromnumeric.py:55(_wrapfunc)
   508945    0.266    0.000    1.535    0.000 <__array_function__ internals>:2(reshape)
