         4203927 function calls (4203669 primitive calls) in 8.411 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    2.764    0.066    6.500    0.155 C:\Python\VideoProc\HW2\ex2_funcsions.py:15(LucasKanadeStep)
       43    1.853    0.043    1.878    0.044 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\interpolate\ndgriddata.py:88(griddata)
   247471    0.789    0.000    0.789    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   123196    0.637    0.000    1.386    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\linalg\linalg.py:482(inv)
   246392    0.538    0.000    0.538    0.000 {transpose}
   492784    0.396    0.000    0.396    0.000 {method 'flatten' of 'numpy.ndarray' objects}
   247178    0.304    0.000    0.304    0.000 {built-in method numpy.array}
   123196    0.145    0.000    0.252    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\linalg\linalg.py:144(_commonType)
   247246    0.118    0.000    0.968    0.000 {method 'sum' of 'numpy.ndarray' objects}
   123282    0.112    0.000    0.112    0.000 {method 'astype' of 'numpy.ndarray' objects}
   123196    0.086    0.000    1.562    0.000 <__array_function__ internals>:2(inv)
123722/123464    0.075    0.000    1.469    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   123196    0.073    0.000    0.160    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\linalg\linalg.py:116(_makearray)
   247246    0.068    0.000    0.850    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\_methods.py:36(_sum)
   123196    0.062    0.000    0.062    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\linalg\linalg.py:111(get_linalg_error_extobj)
   123196    0.056    0.000    0.056    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\linalg\linalg.py:209(_assert_stacked_square)
   123196    0.056    0.000    0.056    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\linalg\linalg.py:203(_assert_stacked_2d)
   246392    0.050    0.000    0.072    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\linalg\linalg.py:121(isComplexType)
   369737    0.040    0.000    0.040    0.000 {built-in method builtins.issubclass}
   123196    0.032    0.000    0.051    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\linalg\linalg.py:134(_realType)
   123282    0.032    0.000    0.068    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\_asarray.py:16(asarray)
   123327    0.019    0.000    0.019    0.000 {built-in method builtins.getattr}
   123239    0.019    0.000    0.019    0.000 {method 'get' of 'dict' objects}
   123196    0.017    0.000    0.017    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\linalg\linalg.py:478(_unary_dispatcher)
   123196    0.016    0.000    0.016    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
       44    0.012    0.000    0.012    0.000 {built-in method nt.open}
       43    0.006    0.000    1.899    0.044 C:\Python\VideoProc\HW2\ex2_funcsions.py:57(WarpImage)
        1    0.005    0.005    7.682    7.682 C:\Python\VideoProc\HW2\ex2_funcsions.py:74(LucasKanadeOpticalFlow)
       84    0.005    0.000    0.005    0.000 {Sobel}
        4    0.004    0.001    0.004    0.001 {method 'read_full_tag' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
       43    0.002    0.000    0.004    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\lib\index_tricks.py:148(__getitem__)
       86    0.002    0.000    0.005    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\function_base.py:26(linspace)
      129    0.002    0.000    0.002    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\matrixlib\defmatrix.py:378(flatten)
       86    0.001    0.000    0.001    0.000 {method 'repeat' of 'numpy.ndarray' objects}
       43    0.001    0.000    0.002    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\numeric.py:1622(indices)
       87    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
        8    0.001    0.000    0.001    0.000 {pyrDown}
       86    0.001    0.000    0.002    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\lib\shape_base.py:1169(tile)
        8    0.001    0.000    0.001    0.000 {pyrUp}
       43    0.000    0.000    0.001    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\lib\stride_tricks.py:185(_broadcast_shape)
      172    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       44    0.000    0.000    0.001    0.000 C:\Python\Miniconda3\envs\py35\lib\ntpath.py:472(normpath)
        2    0.000    0.000    0.000    0.000 {method 'array_from_header' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
       43    0.000    0.000    0.014    0.000 C:\Python\Miniconda3\envs\py35\lib\tempfile.py:251(_mkstemp_inner)
       43    0.000    0.000    0.001    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\lib\stride_tricks.py:206(broadcast_arrays)
      132    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\ntpath.py:122(splitdrive)
       86    0.000    0.000    0.001    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
      473    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      352    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\random.py:223(_randbelow)
      352    0.000    0.000    0.001    0.000 C:\Python\Miniconda3\envs\py35\lib\random.py:255(choice)
       86    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.generic' objects}
       44    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\ntpath.py:75(join)
       43    0.000    0.000    0.001    0.000 C:\Python\Miniconda3\envs\py35\lib\tempfile.py:118(_sanitize_params)
      857    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       86    0.000    0.000    0.001    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\fromnumeric.py:2236(any)
       44    0.000    0.000    0.001    0.000 C:\Python\Miniconda3\envs\py35\lib\tempfile.py:157(__next__)
       43    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\getlimits.py:365(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.unlink}
     1056    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       43    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(broadcast_arrays)
       44    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
       43    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       42    0.000    0.000    0.000    0.000 {built-in method builtins.round}
      129    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       44    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\tempfile.py:146(rng)
       44    0.000    0.000    0.001    0.000 C:\Python\Miniconda3\envs\py35\lib\ntpath.py:545(abspath)
       43    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\numerictypes.py:365(issubdtype)
       43    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\lib\stride_tricks.py:262(<listcomp>)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       43    0.000    0.000    0.000    0.000 {built-in method scipy.interpolate.interpnd._ndim_coords_from_arrays}
      313    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\_asarray.py:88(asanyarray)
       86    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(any)
       44    0.000    0.000    0.001    0.000 C:\Python\Miniconda3\envs\py35\lib\tempfile.py:160(<listcomp>)
       86    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\numerictypes.py:293(issubclass_)
      593    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       43    0.000    0.000    0.015    0.000 C:\Python\Miniconda3\envs\py35\lib\tempfile.py:307(mkstemp)
